Form Name,Form Created,Form Submitted,County,GPS Latitude,GPS Longitude,GPS Accuracy,Kenya Questionnaire,Kenya Multi Sector Mapping Project,In What Year Did This Establishment Begin Operations?,"How Many Services (Kenswitch, Mastercard, Pesa Point, Visa) Does the ATM Offer?",How Many Machines are Located at the ATM Booth?
Stand alone ATM,2015/03/16 10:38:05 AM,2015/03/16 10:44:13 AM,UASIN GISHU,0.51739,35.27809,7,Financial,Stand alone ATM,2013/01/01,1,1
Stand alone ATM,2015/03/16 10:35:27 AM,2015/03/16 10:45:21 AM,NAIROBI,-1.26611,36.74879,14,Financial,Stand alone ATM,2012/07/02,1,1
Stand alone ATM,2015/03/16 12:09:20 PM,2015/03/16 12:29:15 PM,MURANGA,-0.60294,36.95517,6,Financial,Stand alone ATM,2009/01/01,1,1
Stand alone ATM,2015/03/16 12:50:56 PM,2015/03/16 12:59:01 PM,NAIROBI,-1.28662,36.88066,15,Financial,Stand alone ATM,2014/01/01,3,1
Stand alone ATM,2015/03/16 12:56:02 PM,2015/03/16 12:59:19 PM,NAIROBI,-1.26155,36.83953,5,Financial,Stand alone ATM,2014/01/01,1,1
Stand alone ATM,2015/03/16 01:17:06 PM,2015/03/16 01:20:53 PM,KILIFI,-3.94887,39.7452,12,Financial,Stand alone ATM,2005/05/10,1,1
Stand alone ATM,2015/03/16 04:30:03 PM,2015/03/16 04:33:01 PM,NAIROBI,-1.23011,36.80398,7,Financial,Stand alone ATM,2010/01/01,4,1
Stand alone ATM,2015/03/16 05:19:38 PM,2015/03/16 05:21:38 PM,NAIROBI,-1.22797,36.80524,8,Financial,Stand alone ATM,2013/01/01,1,1
Stand alone ATM,2015/03/16 05:22:16 PM,2015/03/16 05:24:38 PM,NAIROBI,-1.22787,36.80535,8,Financial,Stand alone ATM,2015/01/01,3,1
Stand alone ATM,2015/03/17 08:41:27 AM,2015/03/17 08:49:25 AM,NAIROBI,-1.30948,36.82243,14,Financial,Stand alone ATM,2013/09/01,4,1
Stand alone ATM,2015/03/17 08:44:28 AM,2015/03/17 08:54:46 AM,NAIROBI,-1.27799,36.88318,5,Financial,Stand alone ATM,2006/01/15,3,2
Stand alone ATM,2015/03/17 08:55:08 AM,2015/03/17 09:10:00 AM,NAIROBI,-1.278,36.88319,4,Financial,Stand alone ATM,2008/01/14,3,1
Stand alone ATM,2015/03/17 09:07:36 AM,2015/03/17 09:12:38 AM,BUNGOMA,0.59319,34.55305,5,Financial,Stand alone ATM,2014/12/26,1,1
Stand alone ATM,2015/03/17 09:00:39 AM,2015/03/17 09:18:35 AM,NAIROBI,-1.26469,36.80245,6,Financial,Stand alone ATM,2008/01/10,2,1
Stand alone ATM,2015/03/17 10:59:11 AM,2015/03/17 11:10:06 AM,MOMBASA,-4.00683,39.62806,9,Financial,Stand alone ATM,2011/03/16,4,1
Stand alone ATM,2015/03/17 11:29:58 AM,2015/03/17 11:36:09 AM,NAIROBI,-1.23296,36.87351,5,Financial,Stand alone ATM,2015/03/17,2,2
Stand alone ATM,2015/03/17 11:41:27 AM,2015/03/17 11:46:01 AM,NAIROBI,-1.25302,36.89714,8,Financial,Stand alone ATM,2010/03/17,2,1
Stand alone ATM,2015/03/17 11:22:18 AM,2015/03/17 11:47:27 AM,KISII,-0.67277,34.7728,9,Financial,Stand alone ATM,2013/04/01,4,1
Stand alone ATM,2015/03/17 11:53:06 AM,2015/03/17 11:56:08 AM,NAIROBI,-1.23312,36.87399,12,Financial,Stand alone ATM,2014/02/16,3,2
