County,GPS Latitude,GPS Longitude
KILIFI,-3.20845,40.1164
KIRINYAGA,-0.62455,37.256370000000004
NAIROBI,-1.32992,36.8894
NAIROBI,-1.30976,36.91274
KILIFI,-3.20835,40.11639
NAIROBI,-1.32243,36.70823
NAIROBI,-1.19678,36.92595
NAIROBI,-1.19669,36.92589
NAIROBI,-1.28734,36.881
NAIROBI,-1.3283200000000002,36.89172
NAIROBI,-1.3281399999999999,36.891690000000004
KWALE,-4.28172,39.5674
MACHAKOS,-1.39774,36.942209999999996
NAIROBI,-1.3241399999999999,36.70834
NAIROBI,-1.32825,36.88257
NAIROBI,-1.32413,36.70827
KIAMBU,-1.1487,36.95921
NAIROBI,-1.35267,36.7575
NAIROBI,-1.3526200000000002,36.75765
NAIROBI,-1.32634,36.70978
MOMBASA,-4.048769999999999,39.68572
KIAMBU,-1.14832,36.959959999999995
NAIROBI,-1.32182,36.89926
NAIROBI,-1.3217299999999998,36.89933
NAIROBI,-1.32197,36.89954
MOMBASA,-4.0494900000000005,39.6855
MOMBASA,-4.04937,39.68571
MOMBASA,-4.04942,39.68548
MACHAKOS,-1.3594600000000001,36.9071
NAIROBI,-1.31134,36.91349
NAIROBI,-1.31144,36.91366
MOMBASA,-4.0195300000000005,39.720690000000005
MOMBASA,-4.019480000000001,39.72058
MOMBASA,-4.01954,39.72088
MOMBASA,-4.01967,39.72063
KAJIADO,-1.4813399999999999,36.956520000000005
MOMBASA,-4.0195099999999995,39.72053
MOMBASA,-4.040030000000001,39.68098
MOMBASA,-4.019430000000001,39.72068
KIAMBU,-1.14828,36.96007
NAIROBI,-1.31282,36.81665
NAIROBI,-1.31283,36.81661
NAIROBI,-1.31293,36.81687
NAIROBI,-1.31293,36.81684
MACHAKOS,-1.3599700000000001,36.90652
MACHAKOS,-1.35952,36.907090000000004
MACHAKOS,-1.39419,36.93915
KIAMBU,-1.1065,37.015409999999996
KILIFI,-3.62698,39.85204
NAIROBI,-1.1967,36.92422
NAIROBI,-1.2672,36.81159
KIAMBU,-1.24824,36.67622
MACHAKOS,-1.45715,36.97498
MACHAKOS,-1.45757,36.97513
NYERI,-0.30818,36.79551
NAIROBI,-1.3172700000000002,36.89585
MOMBASA,-4.0608,39.65854
KAJIADO,-1.39161,36.76632
MACHAKOS,-1.3687,36.91705
MACHAKOS,-1.4481899999999999,36.97578
NAIROBI,-1.3087,36.90256
NAIROBI,-1.30869,36.902390000000004
KILIFI,-3.3520199999999996,40.0148
KAJIADO,-1.3744299999999998,36.7392
KAJIADO,-1.39429,36.76388
MOMBASA,-4.0494900000000005,39.68656
MACHAKOS,-1.4477200000000001,36.97283
KILIFI,-3.35048,40.019059999999996
KILIFI,-3.3508699999999996,40.01842
KAJIADO,-1.39493,36.763529999999996
MACHAKOS,-1.44107,37.04595
NAIROBI,-1.26163,36.80245
NAIROBI,-1.26109,36.80245
NAIROBI,-1.26155,36.80245
NAIROBI,-1.26176,36.80188
BUNGOMA,0.56847,34.653220000000005
MACHAKOS,-1.53251,37.13127
MACHAKOS,-1.45207,36.977470000000004
MACHAKOS,-1.39368,36.94146
KIRINYAGA,-0.6662100000000001,37.211079999999995
KIRINYAGA,-0.66605,37.211220000000004
KAJIADO,-1.33707,36.67078
KIAMBU,-1.17083,36.82803
MACHAKOS,-1.44449,36.99094
KAJIADO,-1.47671,36.9586
BUNGOMA,0.8062600000000001,34.46354
KIAMBU,-1.05698,37.112120000000004
KIRINYAGA,-0.47513,37.23661
KIAMBU,-1.05711,37.112120000000004
KIAMBU,-1.0571,37.11215
MOMBASA,-4.00802,39.6042
KIAMBU,-1.0570700000000002,37.112140000000004
KIAMBU,-1.16965,36.82698
UASIN GISHU,0.63402,35.049640000000004
KIAMBU,-1.20694,36.783640000000005
KAJIADO,-1.3967,36.75323
KAJIADO,-1.3966399999999999,36.75335
UASIN GISHU,0.52105,35.27637
KAJIADO,-1.39679,36.75314
KAJIADO,-1.39675,36.75335
KAJIADO,-1.39677,36.75375
KISUMU,-0.09784,34.76252
KAJIADO,-1.36171,36.65555
UASIN GISHU,0.67056,35.50806
KIAMBU,-1.04109,37.0718
KAJIADO,-1.68546,36.846309999999995
BUSIA,0.27931,34.11721
KAKAMEGA,0.63335,34.97438
KAKAMEGA,0.63337,34.974270000000004
KAJIADO,-1.36076,36.65571
KAJIADO,-1.39648,36.75374
MURANGA,-0.60218,36.956959999999995
KISUMU,-0.39626999999999996,35.008359999999996
KIAMBU,-1.10825,36.64054
KAJIADO,-1.4289100000000001,36.68697
KAJIADO,-1.4289,36.68715
KIAMBU,-1.0635700000000001,37.14584
UASIN GISHU,0.51893,35.27185
KIAMBU,-1.2252399999999999,36.83976
KIAMBU,-1.22489,36.84002
KIAMBU,-1.22312,36.83923
KIAMBU,-1.2249700000000001,36.84012
KIAMBU,-1.22481,36.84005
KAJIADO,-2.09724,36.79163
KAJIADO,-1.39658,36.75122
NAIROBI,-1.25831,36.80442
NYANDARUA,-0.27299,36.37603
KIAMBU,-1.28538,36.687290000000004
NAKURU,-0.9821,36.585809999999995
EMBU,-0.53764,37.45355
MIGORI,-0.9061600000000001,34.53187
TRANS NZOIA,1.0182,35.00208
UASIN GISHU,0.51735,35.27775
UASIN GISHU,0.2889,35.2925
KITUI,-1.23038,37.91585
KERICHO,-0.36388000000000004,35.28385
KAKAMEGA,0.28903,34.75757
UASIN GISHU,0.28275,35.29489
UASIN GISHU,0.52045,35.27608
NAKURU,-0.7186100000000001,36.4357
KERICHO,-0.3731,35.28147
KAKAMEGA,0.28199,34.75343
BOMET,-0.7803899999999999,35.34124
KERICHO,-0.33411,35.32558
NAKURU,-0.7135600000000001,36.430679999999995
BOMET,-0.72725,35.35073
KITUI,-0.93568,38.06212
BOMET,-0.72741,35.35065
ELGEYO MARAKWET,0.67002,35.50824
KERICHO,-0.33744,35.32152
BOMET,-0.74198,35.34854
BOMET,-0.73155,35.3461
KAKAMEGA,0.28301,34.75455
LAMU,-2.29405,40.91471
KAKAMEGA,0.29303,34.762609999999995
KAKAMEGA,0.29285,34.76255
NAKURU,-0.77565,36.428709999999995
NAKURU,-0.7755,36.42875
BOMET,-0.7442300000000001,35.35885
BOMET,-0.74424,35.35923
BOMET,-0.72755,35.35095
EMBU,-0.5351600000000001,37.450540000000004
KERICHO,-0.32005,35.220909999999996
NAIROBI,-1.26504,36.73827
KITUI,-0.93525,38.06112
KERICHO,-0.40426999999999996,35.31217
NYAMIRA,-0.76108,35.01347
MERU,-0.17899,37.62533
KERICHO,-0.44573,35.13927
KERICHO,-0.44586000000000003,35.13964
BARINGO,0.049280000000000004,35.7261
TRANS NZOIA,1.0129299999999999,35.00269
TRANS NZOIA,1.013,35.00271
KIRINYAGA,-0.49651999999999996,37.35265
NAKURU,-0.28523000000000004,36.07497
LAIKIPIA,0.24896999999999997,36.5378
UASIN GISHU,0.52062,35.27621
UASIN GISHU,0.5191600000000001,35.27219
MAKUENI,-1.53254,37.13133
HOMA BAY,-0.42585,34.20865
NANDI,0.5219,35.27774
KERICHO,-0.36577,35.28365
MIGORI,-0.90604,34.531890000000004
NAKURU,-0.30396,36.06771
MIGORI,-0.89099,34.53172
KIRINYAGA,-0.49583999999999995,37.351009999999995
BOMET,-0.73715,35.37073
MIGORI,-1.24104,34.477959999999996
KIRINYAGA,-0.49668,37.351659999999995
KIRINYAGA,-0.43191,37.310829999999996
NYANDARUA,-0.3983,36.492
BOMET,-0.68682,35.11629
BOMET,-0.68717,35.1143
KERICHO,-0.58286,35.19036
MIGORI,-1.1917799999999998,34.62108
BOMET,-0.68709,35.11437
BOMET,-0.69012,35.11057
TRANS NZOIA,1.01769,35.001020000000004
KITUI,-0.9359999999999999,38.06235
