County,GPS Latitude,GPS Longitude
MAKUENI,-1.6598099999999998,37.44843
MAKUENI,-1.9986,37.419309999999996
NYAMIRA,-0.76413,35.01254
KIRINYAGA,-0.49488000000000004,37.35083
KIRINYAGA,-0.68075,37.35219
NANDI,0.31849,35.169540000000005
KERICHO,-0.4453,35.14483
LAIKIPIA,0.39993,37.166709999999995
KIRINYAGA,-0.48333999999999994,37.42029
KIRINYAGA,-0.46829,37.39029
NYAMIRA,-0.82796,35.02575
BARINGO,0.04983,35.72507
MACHAKOS,-1.14847,37.54694
BARINGO,0.052079999999999994,35.72761
NAKURU,-0.28557,36.062979999999996
BARINGO,0.30849,36.22811
LAMU,-2.38833,40.436479999999996
KIRINYAGA,-0.49676000000000003,37.284009999999995
MAKUENI,-2.07766,37.46266
KIRINYAGA,-0.50312,37.27783
BOMET,-0.7420800000000001,35.364340000000006
ISIOLO,1.0695700000000001,38.66826
HOMA BAY,-0.82514,34.38568
MIGORI,-0.96698,34.28873
MERU,-0.06602000000000001,37.661840000000005
BOMET,-0.7511899999999999,35.21464
ELGEYO MARAKWET,1.27284,35.62928
BARINGO,0.7023,35.6999
KERICHO,-0.22779000000000002,35.156
BOMET,-0.74544,35.21441
KERICHO,-0.16624,35.591640000000005
ELGEYO MARAKWET,1.03955,35.3208
HOMA BAY,-0.42207,34.20645
HOMA BAY,-0.42285,34.206920000000004
KIRINYAGA,-0.50154,37.28065
TANA RIVER,-2.26943,40.11038
BOMET,-0.7508100000000001,35.2148
SAMBURU,1.09638,36.70136
HOMA BAY,-0.43505,34.20727
NYANDARUA,-0.73744,36.611999999999995
KERICHO,-0.37290999999999996,35.28141
SAMBURU,1.09334,36.70133
KIRINYAGA,-0.48013999999999996,37.17745
SAMBURU,1.0984399999999999,36.700390000000006
KERICHO,-0.51174,35.17138
KIRINYAGA,-0.48018,37.17707
SAMBURU,1.09839,36.70035
KIRINYAGA,-0.47342,37.237320000000004
KIRINYAGA,-0.49565,37.35118
NAROK,-1.08733,35.871990000000004
HOMA BAY,-0.42463999999999996,34.20691
KIRINYAGA,-0.55367,37.23961
KIRINYAGA,-0.66592,37.21027
KIRINYAGA,-0.46668999999999994,37.38816
KIRINYAGA,-0.5663699999999999,37.32564
KERICHO,-0.5804199999999999,35.190490000000004
KAJIADO,-2.93063,37.50286
KAJIADO,-2.93036,37.50496
KIRINYAGA,-0.44726000000000005,37.346990000000005
TANA RIVER,-2.27339,40.18272
KIRINYAGA,-0.43177,37.31084
MAKUENI,-0.93445,38.05598
SIAYA,-0.10181,34.27581
HOMA BAY,-0.42221000000000003,34.20636
BOMET,-0.96639,35.19195
KAJIADO,-2.92617,37.50837
LAIKIPIA,0.40039,37.168079999999996
MIGORI,-1.23504,34.48328
NAROK,-1.01359,35.10253
HOMA BAY,-0.41091000000000005,34.19764
TANA RIVER,-2.23409,40.17901
NANDI,0.20171,35.09513
NANDI,0.20281,35.10305
HOMA BAY,-0.57416,34.371390000000005
NANDI,0.20332999999999998,35.105109999999996
MIGORI,-1.18907,34.623540000000006
SIAYA,-0.10142000000000001,34.27346
NYANDARUA,-0.8783700000000001,36.56608
HOMA BAY,-0.42251000000000005,34.20752
KERICHO,-0.58236,35.19097
NAROK,-0.93505,35.03537
NYANDARUA,-0.54291,36.56467
NAROK,-0.93419,35.03559
NYANDARUA,-0.5453,36.561009999999996
KAJIADO,-2.92492,37.51001
MACHAKOS,-1.46281,37.3183
NANDI,0.49923,35.02731
KAJIADO,-2.9247799999999997,37.51027
NYANDARUA,-0.8404200000000001,36.54996
KAJIADO,-2.9279,37.5132
MAKUENI,-1.7819,37.62455
KERICHO,-0.63179,35.196999999999996
NYANDARUA,-0.3982,36.49333
NAROK,-1.0101799999999999,34.87918
NAROK,-1.00966,34.87907
MAKUENI,-1.84863,37.42065
MAKUENI,-1.9133799999999999,37.73032
MAKUENI,-1.91336,37.73044
KERICHO,-0.16395,35.59035
NYANDARUA,-0.58797,36.4903
MIGORI,-1.34076,34.689809999999994
NYANDARUA,-0.67019,36.5548
MAKUENI,-1.7808700000000002,37.628009999999996
MIGORI,-1.3405,34.690329999999996
TRANS NZOIA,1.09045,35.15464
KAJIADO,-2.7985700000000002,37.53693
MAKUENI,-1.9101299999999999,37.728359999999995
KERICHO,-0.57805,35.14397
NANDI,0.39858000000000005,35.08547
MAKUENI,-1.51997,37.26924
MAKUENI,-1.78237,37.629059999999996
MAKUENI,-1.9609400000000001,37.86459
LAMU,-2.2985,40.624179999999996
KERICHO,-0.62844,35.19493
NANDI,0.2559,35.082679999999996
NANDI,0.48036999999999996,34.96687
MAKUENI,-1.87854,37.52251
HOMA BAY,-0.6883199999999999,34.15052
KERICHO,-0.6218600000000001,35.19654
HOMA BAY,-0.68939,34.15032
MAKUENI,-1.781,37.627179999999996
MAKUENI,-1.8182200000000002,37.536809999999996
HOMA BAY,-0.6883699999999999,34.1513
KERICHO,-0.5039899999999999,35.10027
MAKUENI,-1.7822900000000002,37.62462
KAJIADO,-2.73455,37.506859999999996
HOMA BAY,-0.6914,34.14532
HOMA BAY,-0.7661600000000001,34.17242
NYANDARUA,-0.62452,36.524879999999996
NYANDARUA,-0.62473,36.52462
KIAMBU,-1.02859,36.74382
BOMET,-0.59918,35.23402
BOMET,-0.5994,35.23387
MIGORI,-1.19364,34.6197
KAJIADO,-1.8985299999999998,36.28832
BOMET,-0.59912,35.23229
BOMET,-0.59906,35.23321
KIAMBU,-1.0051299999999999,36.74638
NANDI,0.35991,35.04444
NYANDARUA,-0.60654,36.57727
